time,distance
1464296240.03,85.167
1464296240.05,83.883
1464296240.06,83.986
1464296240.09,84.276
1464296240.1,83.879
1464296240.12,84.345
1464296240.14,84.345
1464296240.15,84.771
1464296240.17,85.233
1464296240.18,83.916
1464296240.2,85.286
1464296240.21,84.771
1464296240.23,83.932
1464296240.25,85.151
1464296240.26,84.754
1464296240.28,84.415
1464296240.29,84.325
1464296240.31,84.807
1464296240.32,83.949
1464296240.34,85.184
1464296240.36,84.771
1464296240.37,85.151
1464296240.39,84.566
1464296240.41,85.458
1464296240.42,85.204
1464296240.44,84.358
1464296240.45,83.9
1464296240.47,84.399
1464296240.49,85.184
1464296240.5,85.13
1464296240.52,85.216
1464296240.53,85.151
1464296240.55,85.163
1464296240.57,84.738
1464296240.58,84.358
1464296240.6,85.269
1464296240.61,84.362
1464296240.63,84.378
1464296240.64,85.22
1464296240.66,84.787
1464296240.68,85.2
1464296240.69,84.722
1464296240.71,80.894
1464296240.73,85.629
1464296240.74,85.184
1464296240.76,85.237
1464296240.77,84.345
1464296240.79,85.184
1464296240.81,85.237
1464296240.82,83.949
1464296240.84,85.184
1464296240.85,84.325
1464296240.87,84.738
1464296240.89,85.253
1464296240.9,85.114
1464296240.92,92.302
1464296240.93,83.691
1464296240.95,83.949
1464296240.97,84.738
1464296240.98,84.738
1464296241.0,83.965
1464296241.01,83.879
1464296241.03,85.666
1464296241.05,85.646
1464296241.07,82.473
1464296241.08,84.018
1464296241.1,83.932
1464296241.11,85.216
1464296241.13,84.754
1464296241.15,83.986
1464296241.16,85.184
1464296241.18,84.325
1464296241.19,83.965
1464296241.21,85.253
1464296241.23,83.573
1464296241.24,84.272
1464296241.26,85.22
1464296241.28,84.292
1464296241.29,85.184
1464296241.31,85.188
1464296241.32,83.916
1464296241.34,85.167
1464296241.36,83.928
1464296241.38,84.345
1464296241.39,84.411
1464296241.41,80.453
1464296241.42,85.613
1464296241.44,85.2
1464296241.46,84.313
1464296241.47,85.081
1464296241.49,85.135
1464296241.5,85.2
1464296241.52,85.286
1464296241.54,84.824
1464296241.55,85.56
1464296241.57,86.488
1464296241.59,85.646
1464296241.6,85.216
1464296241.62,84.341
1464296241.64,83.879
1464296241.65,85.237
1464296241.67,84.803
1464296241.69,84.378
1464296241.7,85.22
1464296241.72,84.411
1464296241.73,84.325
1464296241.75,85.135
1464296241.77,84.345
1464296241.78,84.427
1464296241.8,85.204
1464296241.82,81.667
1464296241.83,85.184
1464296241.85,84.754
1464296241.86,84.345
1464296241.88,84.448
1464296241.9,85.237
1464296241.91,85.163
1464296241.93,85.306
1464296241.95,83.998
1464296241.96,85.216
1464296241.98,85.151
1464296242.0,84.807
1464296242.02,84.313
1464296242.04,85.216
